RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
93783,81419,CO,,Delta,Hotchkiss,11365,227605,0.002828655,0.011209248,0.074262169,0.082986539,0.019573989,2018-03,2018-Q1,227605,0,2018-03
99900,98595,WA,Aberdeen,Grays Harbor,Westport,11366,158169,-0.000991625,0.001367495,-0.022259999,0.014843846,-0.029412622,2007-04,2007-Q2,219210,-0.278459012,2005-08
63843,15026,PA,Pittsburgh,Allegheny,Findlay,11367,208318,0.024707937,0.080000207,0.161846971,0.048087822,0.028850332,2018-03,2018-Q1,208318,0,2018-03
77072,44217,OH,Wooster,Wayne,Creston,11368,138477,0.012347574,0.024965952,0.0773402,0.043621207,0.021362516,2018-03,2018-Q1,138477,0,2018-03
62790,12846,NY,Glens Falls,Warren,Lake Luzerne,11369,177972,-0.003175777,0.031685854,0.055311781,0.02518818,0.006753687,2018-02,2018-Q1,178539,-0.003175777,2018-02
74199,37143,TN,Nashville,Cheatham,Pegram,11370,228505,0.000148815,0.007553176,0.085049906,0.068712037,0.024028215,2018-03,2018-Q1,228505,0,2018-03
79858,49668,MI,Cadillac,Wexford,Mesick,11371,40022,-0.016368462,-0.065059453,-0.212599355,-0.009719532,0.03595087,2016-12,2016-Q4,52700,-0.24056926,
85124,61738,IL,Peoria,Woodford,El Paso,11372,124349,-0.003613782,-0.001998427,0.021791827,-0.027152242,-0.003411607,2013-02,2013-Q1,147174,-0.155088535,
91547,76689,TX,,Bosque,Valley Mills,11373,169269,0.002861612,0.005841246,0.085426459,0.071591346,0.031780777,2017-11,2017-Q4,169903,-0.003731541,2017-10
99670,98261,WA,,San Juan,Eastsound,11374,569845,-0.003115674,-0.001821733,0.045827025,0.048945149,0.00375293,2007-05,2007-Q2,611655,-0.068355527,2006-11
60303,06420,CT,New London,New London,Salem,11375,245497,-0.002255621,-0.000223985,-0.012259399,0.008006381,-0.016112027,2005-09,2005-Q3,310341,-0.208944355,2004-01
81511,53952,WI,,Adams,Oxford,11376,122832,-4.88448E-05,0.008183199,0.061770655,0.062683837,0.019699869,2018-02,2018-Q1,122838,-4.88448E-05,2018-02
86302,64054,MO,Kansas City,Jackson,Sugar Creek,11377,69248,0.01159903,0.007918025,0.087642144,0.033072207,-0.014030915,2007-02,2007-Q1,86677,-0.201079871,2002-01
74713,38221,TN,,Benton,Big Sandy,11378,68555,0.010941855,0.010301226,-0.003865099,0.030049282,0.004076508,2006-08,2006-Q3,70742,-0.030915156,2006-04
70094,28643,NC,,Ashe,Lansing,11379,74629,0.000858312,-0.015799122,-0.040918613,0.004718409,-0.008142615,2007-12,2007-Q4,83277,-0.1038462,2006-07
69966,28456,NC,,Bladen,East Arcadia,11380,106095,-0.003634417,-0.008133502,0.013197979,0.026710486,-0.003751025,2008-05,2008-Q2,111028,-0.044430234,2007-05
63673,14710,NY,Jamestown,Chautauqua,North Harmony,11381,116259,0.024335445,0.028549437,0.099459061,0.041687358,0.031611164,2018-03,2018-Q1,116259,0,2018-03
65005,17301,PA,York,York,Paradise,11382,188214,0.002791838,0.011810748,0.069476723,0.038315675,-0.00657371,2007-06,2007-Q2,205580,-0.084473198,2006-07
73456,35444,AL,Tuscaloosa,Tuscaloosa,Brookwood,11383,113181,-0.001182544,0.005177712,0.064501566,0.043465468,-0.003989471,2008-04,2008-Q2,117968,-0.040578801,2006-11
74515,37853,TN,Knoxville,Blount,Rockford,11384,155864,0.007778302,0.025488519,0.087934332,0.051058187,0.011767477,2018-03,2018-Q1,155864,0,2018-03
78669,47562,IN,Washington,Daviess,Odon,11385,93737,0.001313906,0.006971898,0.038303481,0.037204131,0.005095282,2018-03,2018-Q1,93737,0,2018-03
82814,56359,MN,Minneapolis-St Paul,Mille Lacs,Onamia,11386,146550,-0.011273706,-0.016535359,0.088223719,0.07046167,0.017198876,2006-02,2006-Q1,153829,-0.047318776,2005-04
62358,12053,NY,Albany,Schenectady, Duane,11387,206796,0.007605915,0.027052531,0.076384154,0.031751565,0.005238336,2006-08,2006-Q3,208618,-0.008733666,2006-07
79551,49064,MI,Kalamazoo,Van Buren,Lawrence,11388,107444,0.011761382,0.073581135,0.218144508,0.028389797,0.01060283,2018-03,2018-Q1,107444,0,2018-03
82493,55927,MN,Rochester,Dodge,Dodge Center,11389,167340,-0.001235474,-0.001187783,0.072554801,0.053571415,0.017325521,2018-01,2018-Q1,167563,-0.001330843,2017-11
97386,93643,CA,Madera,Madera,North Fork,11390,275978,0.031065183,0.073681426,0.247318729,0.08936881,0.004779822,2005-09,2005-Q3,372406,-0.258932455,2004-09
61882,10594,NY,New York,Westchester,Thornwood,11391,613426,-0.000133658,0.005224191,0.050872835,0.040418598,0.003104729,2006-03,2006-Q1,664234,-0.076491116,2005-03
61922,10921,NY,New York,Orange,Florida,11392,257196,0.004656177,0.019066185,0.114985781,0.038134082,-0.016746062,2006-02,2006-Q1,330033,-0.220696112,2003-10
74507,37843,TN,Newport,Cocke,Parrottsville,11393,85264,0.002917098,0.001127184,0.086622402,0.069666083,0.029372887,2018-03,2018-Q1,85264,0,2018-03
77421,45052,OH,Cincinnati,Hamilton,North Bend,11394,210262,0.004413914,9.51203E-06,0.042821434,0.035525754,0.005860827,2006-05,2006-Q2,218111,-0.035986264,2005-12
61837,10524,NY,New York,Putnam,Philipstown,11395,445054,0.012485042,0.028049645,0.082069249,0.03649716,-0.002514671,2006-06,2006-Q2,505586,-0.119726416,2004-05
62774,12827,NY,Glens Falls,Washington, Fort Ann,11396,164792,0.001927345,0.013412377,0.077480352,0.042775533,0.01400244,2018-03,2018-Q1,164792,0,2018-03
79695,49328,MI,Holland,Allegan,Hopkins,11397,157236,0.004972581,0.008511375,0.12722867,0.09787434,0.032783542,2018-03,2018-Q1,157236,0,2018-03
60673,07440,NJ,New York,Morris,Pequannock,11398,385411,8.82253E-05,0.005515305,0.053113208,0.036128749,-0.005159644,2006-06,2006-Q2,432451,-0.108775329,2004-11
59154,03584,NH,Berlin,Coos, Lancaster,11399,132937,-0.008716985,-0.020476583,0.007930791,0.028174923,-0.008053511,2007-04,2007-Q2,157046,-0.15351553,2004-09
61914,10913,NY,New York,Rockland,Orangetown,11400,482653,0.005501946,0.009730085,0.023830181,0.025165833,-0.00783902,2006-05,2006-Q2,582888,-0.17196271,2004-05
74763,38330,TN,,Gibson,Dyer,11401,55100,-0.025778846,-0.091688372,-0.059759053,0.002682063,-0.005191639,2006-03,2006-Q1,62896,-0.123950649,2005-06
78601,47433,IN,Bloomington,Owen,Gosport,11402,110359,0.001597343,0.001933797,-0.004312639,-0.001270976,-0.000687864,2017-06,2017-Q2,116959,-0.056430031,2017-03
67697,23421,VA,,Accomack,Parksley,11403,130371,-0.000605596,-0.006629026,-0.014029011,0.017055929,-0.009591977,2006-08,2006-Q3,159652,-0.183405156,2005-06
